model_code	model_id	model_initial_id	model_name	model_quarter
MOD_201140	-21140	1140	Слив для умывальника или биде	-2.0
MOD_201141	-21141	1141	Сифон для кухонной мойки	-2.0
MOD_201142	-21142	1142	Сливной шланг из ПВХ	-2.0
MOD_201143	-21143	1143	фитинги внутренней канализации	-2.0
MOD_201144	-21144	1144	Трап уличный	-2.0
MOD_201145	-21145	1145	Сифон для стиральной машины	-2.0
MOD_201146	-21146	1146	Дренажный шланг для стиральной машины	-2.0
MOD_201147	-21147	1147	Запасные части для слива	-2.0
MOD_201148	-21148	1148	Герметик гидроизоляционный	-2.0
MOD_201149	-21149	1149	Комплект туб с силиконовой мастикой	-2.0
MOD_201150	-21150	1150	Уплотнительная лента	-2.0
MOD_201151	-21151	1151	Смягчитель для воды	-2.0
MOD_201152	-21152	1152	таблетированная соль	-2.0
MOD_201153	-21153	1153	Картридж для фильтра-кувшина	-2.0
MOD_201154	-21154	1154	Комплект картриджей для фильтров воды	-2.0
MOD_201155	-21155	1155	Наполнитель фильтра для технического умягчения воды	-2.0
MOD_201156	-21156	1156	Картридж для фильтрации питьевой воды (активированный уголь и пестициды, бактерии)	-2.0
MOD_201157	-21157	1157	Запасные части для умягчителя воды	-2.0
MOD_201158	-21158	1158	Картридж к фильтру-насадке на кран	-2.0
MOD_201159	-21159	1159	Мембрана для обратного осмоса	-2.0
MOD_201160	-21160	1160	Cтанции очистки воды	-2.0
MOD_201161	-21161	1161	Кулер для воды	-2.0
MOD_201162	-21162	1162	Комплект заправки фильтра от накипи	-2.0
MOD_201163	-21163	1163	Система фильтрации под мойку	-2.0
MOD_201164	-21164	1164	Картридж против примеси	-2.0
MOD_201165	-21165	1165	Ультрафильтрация	-2.0
MOD_201166	-21166	1166	Запасные части для водоочистителя	-2.0
MOD_201167	-21167	1167	Колба для магистрального фильтра	-2.0
MOD_201168	-21168	1168	Корпус фильтра и фильтр в наборе	-2.0
MOD_201169	-21169	1169	Фильтр для воды на мойку	-2.0
MOD_201170	-21170	1170	Фильтр - насадка на кран	-2.0
MOD_201171	-21171	1171	Фильтры с обратным осмосом	-2.0
MOD_201172	-21172	1172	обратный осмос	-2.0
MOD_201173	-21173	1173	Набор фильтров обратного осмоса	-2.0
MOD_201174	-21174	1174	Фильтр кувшин	-2.0
MOD_201175	-21175	1175	Гибкий шланг для газа	-2.0
MOD_201176	-21176	1176	Гофра для вытяжки	-2.0
MOD_201177	-21177	1177	Смеситель для раковины	-2.0
MOD_201178	-21178	1178	Смеситель для биде	-2.0
MOD_201179	-21179	1179	Смеситель для ванны	-2.0
MOD_201180	-21180	1180	Смеситель для душа	-2.0
MOD_201182	-21182	1182	Смеситель для умывальника	-2.0
